,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,geometry,CVI_Category,dist_to_CVI_m,Morpho,CoastType,dist_to_morpho_m,wave_nc_mean_0p1deg,wave_atl_mean_0p1deg,current_mean_0p1deg,current_mean_1deg,dist_to_river_outlet_m,GEV_ID,HYRIV_ID,dist_to_nearest_river_m,nearest_CATCH_SKM_10km,nearest_DIS_AV_CMS_10km,river_index_10km,coastal_type
25,19,127,50.607899,-2.4465001,204,0.0398744127626695,0.3977831432976929,0.1515032450057134,0.0404035568907954,0.8794833063094978,0.0743974987168777,0.9979441279352484,3,POINT (-2.4465000999999997 50.607898999999996),Lower,40.25487094931304,J,Harbor area,3.7186871847648204,1.4379340277777777,143.9205193267912,151.20842395754832,505.23547719113884,843.8008101942083,25,20358527,843.8008101942083,42.47,0.858,0.3359910862546975,84200 Coastal waters
26,20,128,50.7136,-1.8747,165,-0.1186300167061249,0.4106955929454887,0.1643274374526066,0.049709530982598,0.7905521790174116,0.0890331820839211,0.9963338087989808,3,POINT (-1.8746999999999996 50.71359999999998),Lower,261.65105424097266,B,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",6.149474774437989,1.0879991319444444,53.03638319219233,106.81692107920883,635.4795868133893,200.760569970261,26,20355982,200.760569970261,12.91,0.224,0.16833013871844874,12310 Cargo port
27,21,129,50.651108,-1.1531577,112,-0.272751174949764,0.4051227064743821,0.1441356802381272,0.0911272376027554,0.2921159463188175,0.1442777416159818,0.9878575391752948,3,POINT (-1.1531577 50.651107999999994),Lower,244.79703336157255,E,Sand beach fronting upland (> 1 Km long),18.783243797955503,1.8317057291666667,169.29575514447296,558.9538113689019,636.9361356394214,6686.419073289397,27,20357252,1501.589226383959,21.49,1.478,0.11805911176584638,83200 Estuaries
28,22,13,47.205383,-1.765133,213,-0.0823425769803469,0.7390076146349648,0.3509113409234792,0.0644111179075723,0.3258522510756887,0.1168785090413891,0.9890919797383122,1,POINT (-1.7651329999999998 47.20538299999999),No data,2646.8026164065604,G,"Muddy coastline, including tidal flat, salt marsh",30236.343958784775,0.0,,,,18341.178155392678,28,20449049,96.49479813179387,31.2,997.859,0.3570937494738922,12340 Naval port
29,22,13,47.205383,-1.765133,213,-0.0823425769803469,0.7390076146349648,0.3509113409234792,0.0644111179075723,0.3258522510756887,0.1168785090413891,0.9890919797383122,1,POINT (-1.7651329999999998 47.20538299999999),No data,2646.8026164065604,G,"Muddy coastline, including tidal flat, salt marsh",30236.343958784775,0.0,,,,18341.178155392678,29,20449049,96.49479813179387,31.2,997.859,0.3570937494738922,12360 Local multi-functional harbours
30,22,13,47.205383,-1.765133,213,-0.0823425769803469,0.7390076146349648,0.3509113409234792,0.0644111179075723,0.3258522510756887,0.1168785090413891,0.9890919797383122,1,POINT (-1.7651329999999998 47.20538299999999),No data,2646.8026164065604,H,Estuary,30236.343958784775,0.0,,,,18341.178155392678,30,20449049,96.49479813179387,31.2,997.859,0.3570937494738922,12330 Fishing port
31,22,13,47.205383,-1.765133,213,-0.0823425769803469,0.7390076146349648,0.3509113409234792,0.0644111179075723,0.3258522510756887,0.1168785090413891,0.9890919797383122,1,POINT (-1.7651329999999998 47.20538299999999),No data,2646.8026164065604,H,Estuary,30236.343958784775,0.0,,,,18341.178155392678,31,20449049,96.49479813179387,31.2,997.859,0.3570937494738922,84200 Coastal waters
32,23,130,50.740292,-1.5071276,105,-0.5383090956506165,0.4989575850326324,0.2222026376786166,0.0833526651902992,0.4355697718121118,0.1396353928653241,0.9892467993806544,3,POINT (-1.5071276 50.74029199999998),Lower,1941.5774746939753,G,"Muddy coastline, including tidal flat, salt marsh",2064.6010726585105,1.1117621527777777,301.4166595836838,638.0639119836537,656.2149441485958,1549.5078932941228,32,20355016,1549.5078932941228,12.76,2.16,0.45129182167468623,84200 Coastal waters
33,24,131,50.609333,-1.949177,95,0.1313327345200057,0.3926827477964157,0.1669008121470283,0.0714713159186733,0.6897058634403916,0.1271048648951689,0.9911934244104748,3,POINT (-1.949177 50.60933300000001),Lower,302.8095154720303,B,"Erodible rock and/or cliff, with rock waste and sediments (sand or pebbles) at its base",250.6277834962211,1.7505425347222223,42.490122048700954,424.354316411834,637.6958415377604,514.3030645257849,33,20358630,514.3030645257849,16.75,0.296,0.17122238938342008,
34,25,133,50.594177,-4.8344054,88,0.3206662604070879,0.8031285647321317,0.5614123081565747,0.1499175131915163,0.0342898937415212,0.249974010925844,0.9369945658834437,4,POINT (-4.8344054 50.594176999999995),Lower,20.74433205835422,A,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",10.311916391822745,1.1342230902777777,197.79890399299867,61.110282055064204,141.33732685493507,6247.998250614192,34,20360236,4004.6021186728594,10.23,0.29,0.03513276487474122,12330 Fishing port
