,Unnamed: 0,wind_wave_alignment,lat,tp,lon,mwd,mwp,wind_dir,v10_abs,tau_v,msl,sp,v10,u10_abs,swh,station,extract_time,cluster
139,139,,48.383,0.0005092621,-4.495,,,67.54826,6.554611,1.0852548,99500.0,99267.836,6.554611,15.862015,,1,1975-11-28 14:00:00,1
140,140,,48.383,0.0012645721,-4.495,,,338.42822,9.924042,0.6153698,98724.375,98490.22,9.924042,3.9235535,,1,1976-01-30 00:00:00,7
141,141,,48.383,0.00071787834,-4.495,,,59.559166,9.413391,2.2604525,98007.375,97773.695,9.413391,16.01857,,1,1976-03-12 21:00:00,4
142,142,,48.383,0.00032281876,-4.495,,,37.499794,8.63942,0.7879714,100622.44,100386.805,8.63942,6.6292114,,1,1976-05-03 02:00:00,3
143,143,,48.383,2.861023e-06,-4.495,,,21.669283,4.85878,0.07257878,101173.125,100941.94,4.85878,1.9305267,,1,1976-07-15 16:00:00,2
144,144,,48.383,0.0045437813,-4.495,,,51.244778,9.886414,1.9170074,99638.25,99408.47,9.886414,12.315918,,1,1976-09-11 00:00:00,4
145,145,,48.383,0.0003142357,-4.495,,,56.57159,10.56842,2.8477807,98116.06,97887.6,10.56842,16.010574,,1,1976-10-14 05:00:00,4
146,146,,48.383,0.0030446053,-4.495,,,4.8592668,14.182571,0.38622063,98315.75,98084.484,14.182571,1.205719,,1,1976-12-06 00:00:00,3
147,147,,48.383,0.0023322105,-4.495,,,47.02449,9.176941,1.3209599,98922.5,98690.86,9.176941,9.849503,,1,1977-02-20 01:00:00,4
148,148,,48.383,0.0006933212,-4.495,,,62.635284,5.912201,0.63585514,100142.125,99907.29,5.912201,11.423004,,1,1977-05-12 02:00:00,1
149,149,,48.383,0.00039100647,-4.495,,,89.865295,0.0137786865,1.7719503e-06,101099.81,100866.41,0.0137786865,5.860794,,1,1977-07-18 07:00:00,1
150,150,,48.383,0.0001783371,-4.495,,,19.258718,3.230194,0.018753022,99888.69,99656.7,3.230194,1.1285858,,1,1977-08-26 15:00:00,1
151,151,,48.383,0.00034618378,-4.495,,,298.45898,4.48555,0.2651576,98656.19,98425.68,4.48555,8.275482,,1,1977-10-08 00:00:00,7
