,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,DU,CODE_1_18,CODE_2_18,CODE_3_18,CODE_4_18,CODE_5_18,COMMENT_18
106,106,327,51.116699,1.3166699,199,0.0267112693276609,0.6159009238965673,0.2654639098284892,0.0418549343663035,0.8619855566056407,0.0785140742535753,0.9965679405516858,1,4,1,12,123,1231,12310,
107,107,328,51.216702,-3.1333301,197,-0.1182880005277909,0.6970486927259653,0.2487185995835875,0.0309366633514129,0.9888080076442732,0.0612337204348823,0.99829460867145,1,4,8,84,842,8420,84200,
108,108,329,51.216702,-4.1166701,194,0.0636772949169777,0.4761900589600541,0.2085997441889284,0.0410097119361472,0.886442254636889,0.078698042506144,0.9977606687128672,3,4,8,84,842,8420,84200,
109,109,330,51.549599,-2.9860001,182,0.0213170609054199,0.9357504450128744,0.2643223000414784,0.0446519715725644,0.844958930178726,0.0716331386142231,0.99686033973762,1,4,8,84,842,8420,84200,
110,110,331,51.569698,-3.9737,172,0.0237357758472285,0.5735857242086942,0.2567282475307444,0.0471901108564764,0.8207223829765229,0.0897827468832866,0.99491981184113,1,4,8,84,842,8420,84200,
111,111,332,51.450001,0.75,178,0.0209719146242344,0.815909631724683,0.3493149161060591,0.0525729550532309,0.6887368363917599,0.1024947012790941,0.991875708041408,1,4,8,84,842,8420,84200,
112,112,333,51.381985,1.1155597,168,0.1529154451983269,0.9102489770102472,0.3649235304430962,0.0548319185509439,0.6725191331851408,0.0938177602020307,0.995522348548157,4,4,8,84,842,8420,84200,
113,113,334,51.507099,-2.7114,140,0.1162472359070179,1.043450727229708,0.3007225268830883,0.0478952529042312,0.889587734730934,0.0897614664319966,0.9925146355594876,4,4,1,12,123,1231,12310,
114,114,335,51.966702,1.35,128,-0.05811465078253,0.6863310094086529,0.3002194980105533,0.05309289091591,0.8443476366639334,0.0984143482602336,0.9937810469361088,1,4,1,12,122,1220,12200,
115,115,336,51.948002,1.2920001,124,-0.1748849804699015,0.6530729095083834,0.2960864218206669,0.0430395489665464,0.9681416099098368,0.0853093342738928,0.9953962388180564,1,4,8,84,842,8420,84200,
116,116,337,51.223793,1.4092588,115,-0.1467128983091921,0.644467089653274,0.2470280456526547,0.0677140664761529,0.6422490658611271,0.1240162763779992,0.992031380547427,1,4,8,84,842,8420,84200,
117,117,338,51.5,-2.7284,100,0.2479405380252313,1.1630009072038845,0.4091419744688785,0.1160298445847518,0.1250131721838111,0.225535110716496,0.9500630744175126,4,4,8,84,842,8420,84200,
118,118,339,51.570122,-2.7000217,79,0.6330111750279996,1.3642418684199082,0.4235880525818463,0.1074053015503352,0.2999739072969599,0.1884305578536481,0.968712666952001,2,4,8,84,842,8420,84200,
119,119,342,51.522301,3.4402001,63,0.22583725700071,0.8392934899221547,0.3351569066356625,0.059175039523462,0.9707695968894468,0.1181002755169605,0.9879902594064108,4,4,1,11,112,1121,11210,
120,120,35,45.040483,-0.603517,60,-0.2097294830038359,0.6316684832145636,0.1692333770100919,0.0524168989385387,0.993626302521821,0.1000595586893953,0.9956146990601888,3,4,1,12,123,1231,12310,
121,121,368,52.3385,-6.4589,86,0.0663458378043497,0.4648332498321235,0.1646951243744751,0.0696664261858519,0.7716288645324997,0.1330583583884452,0.9881701071945213,3,4,1,12,123,1231,12310,
122,122,369,52.14767,-6.99188,77,-0.1234746566721584,0.4166869885902898,0.1669117597324822,0.0592371949780197,0.935030248543566,0.1136107490482664,0.9936093829947946,3,4,8,84,842,8420,84200,
123,123,375,52.792,-6.1451998,129,0.0209669185096377,0.4758616727571489,0.180109273058714,0.0415001963496057,0.9727424260317846,0.0801984216808804,0.996326465213026,3,4,1,11,112,1121,11210,
124,124,376,52.338501,-6.4589,88,0.1917074086246294,0.4621953196959919,0.2115818719280817,0.0737062430454067,0.6974162147801609,0.128871353269239,0.995057051452398,3,4,1,12,123,1231,12310,
125,125,377,52.2696,-9.8620996,87,0.2539024182332201,0.4070959968697164,0.2616576120815191,0.1304235320137449,0.0946381887105228,0.256321658908865,0.9204895375280132,1,4,1,12,123,1235,12350,
126,126,382,52.013222,-4.98375,362,0.2120883036881155,0.456550908706108,0.3487887885617047,0.0726850377827446,0.0414816325631128,0.1426954995350627,0.9742152434315572,1,4,8,84,842,8420,84200,
127,127,383,52.473083,1.75025,367,-0.0577777178057375,0.674153389341818,0.2898457841268834,0.0415510231233664,0.5367807761899055,0.0778501405222129,0.9950565475633716,1,4,1,12,123,1231,12310,
128,128,384,52.934194,1.301639,227,0.0498341996533464,0.7477534771301244,0.330037344796887,0.0548645134671978,0.4845964186539875,0.0853078414762656,0.9964541084079692,1,4,8,84,842,8420,84200,
129,129,385,52.719333,-4.045028,184,0.3855362508166614,0.7631088172885162,0.4834866134792777,0.1137749379093672,0.01569157763216,0.2148867913974545,0.9585182733175168,4,4,3,31,311,3110,31100,
130,130,386,52.964357,4.74499,347,0.0669727798005978,0.8479697304022306,0.3371592630712057,0.0534021233438493,0.2660839365223311,0.0934894507299006,0.992289287305239,1,4,8,84,842,8420,84200,
