station,n_years,annual_max,annual_max_year,c,loc,scale,ks_D,ks_p,lat,lon,status
415,35,1.9890332221984863,2007.0,0.42827105297134954,1.3405789935646082,0.34473792285387395,0.06525197792939519,0.9960654712901922,52.466702,1.75,ok
416,33,1.9591565132141113,2023.0,0.3971249037663509,1.2315746823161429,0.3738274120439268,0.10028338060352993,0.8616156121669674,52.716702,-4.03333,ok
417,11,0.4561136066913605,2023.0,,,,,,52.931274,5.0479212,skipped (<20 years)
418,11,1.9681893587112427,2014.0,,,,,,52.932617,5.0459771,skipped (<20 years)
42,75,1.8105568885803223,1972.0,0.06381326998324718,0.9256732661414759,0.21753365313224404,0.07978275014496461,0.6960162684932749,47.27,-2.2,ok
423,11,1.7791919708251953,2018.0,,,,,,52.464966,4.5179009,skipped (<20 years)
43,55,1.3523905277252197,1987.0,-0.006923393255762586,0.5927128529849203,0.13118512202435217,0.11821497601128528,0.3949080970150961,48.359299,-4.7809,ok
44,55,1.2812963724136353,1987.0,0.15807102282494834,0.6100851483176147,0.15556726340231758,0.12313080071134563,0.3462110855865502,47.644299,-3.4459901,ok
448,57,1.6386070251464844,1974.0,0.34997002177015846,0.9530694502342748,0.2726590606865129,0.12822666274562955,0.28107786946277924,54.842556,-5.120028,ok
449,31,1.9997755289077759,2007.0,1.424557912009594,1.4827540148240583,0.7365270885671396,0.21106402370370816,0.10873740342913585,54.66475,-5.669472,ok
45,56,1.4832165241241455,1965.0,0.20744319611174544,0.733428741228481,0.2096117782506418,0.07309618417025314,0.9044017297618805,47.140381,-2.24635,ok
450,18,1.2844258546829224,2013.0,,,,,,54.6364,-8.3949,skipped (<20 years)
451,17,1.2092432975769043,2015.0,,,,,,54.9905,-8.4955,skipped (<20 years)
452,17,0.9633665084838867,2024.0,,,,,,54.2536,-9.8928,skipped (<20 years)
453,14,1.3370447158813477,2024.0,,,,,,54.3099,-8.582,skipped (<20 years)
455,35,1.5546051263809204,1998.0,0.13501917519789364,0.9824012410411082,0.17763002128744593,0.07676452982595305,0.97603668127722,54.8424,-5.1188998,ok
456,31,1.75035560131073,2015.0,0.16341839457515367,0.8172162880498305,0.26637526636515785,0.16026614940885253,0.36428833641574865,54.665001,-5.6691999,ok
457,18,1.2672303915023804,2013.0,,,,,,54.636398,-8.3949003,skipped (<20 years)
458,17,1.1409506797790527,2017.0,,,,,,54.989601,-8.4956198,skipped (<20 years)
459,17,0.8674728274345398,2020.0,,,,,,54.252998,-9.8900003,skipped (<20 years)
46,52,1.3395006656646729,1984.0,-0.17460891895236808,0.6194888511933521,0.09711302260405229,0.044374354976266295,0.9998346905519243,48.718399,-3.9658999,ok
460,13,1.9734174013137817,2019.0,,,,,,54.3046,-8.5689001,skipped (<20 years)
462,60,1.9996203184127808,1998.0,0.7174237372710512,1.5457413645024136,0.3310010683115747,0.06979131867841437,0.9121580150686823,54.031833,-2.92025,ok
463,45,1.9643689393997192,2005.0,0.01406554859298184,1.0850140450915555,0.21722645771695961,0.0774687401397563,0.9306786283465178,54.49,-0.614694,ok
464,33,1.9168992042541504,1998.0,0.2420853917905908,1.2973745194826982,0.26711563372775554,0.1028575151815142,0.841148737029756,54.650722,-3.567167,ok
465,31,1.9642564058303833,2023.0,0.030595181534963115,0.8732045891649132,0.19714439285044433,0.10611881593996653,0.8401598634943686,54.085222,-4.768056,ok
466,0,,,,,,,,54.28248,-0.39027,skipped (<20 years)
467,11,1.7763816118240356,2022.0,,,,,,54.48862,-0.61462,skipped (<20 years)
468,25,1.9883185625076294,2023.0,-0.01611920342729981,1.1424148682407935,0.18990045517925758,0.09741641894754849,0.9531559830949075,54.82326593,9.65412763,ok
469,25,1.9949673414230347,2023.0,-0.013391609348042002,1.188604376229888,0.18495673331567158,0.09028672776098923,0.9756001358887081,54.79504891,9.433011,ok
47,44,1.5187653303146362,2010.0,0.20034358377916667,0.7901564501628958,0.23884137556633045,0.09854057830233226,0.7494175644395951,46.148701,-1.2259001,ok
470,25,1.9951335191726685,2015.0,1.3004772756651595,1.8844690863215516,0.1439165801472504,0.16505244494056237,0.45538162842182306,54.75978757,8.29700482,ok
471,25,1.9957942962646484,2007.0,1.3493443328912111,1.9458573380694182,0.06738215154255928,0.10845897896568707,0.8997994089583309,54.73219748,8.6880067,ok
472,0,,,,,,,,54.66438046,9.93793188,skipped (<20 years)
473,25,1.9987951517105103,2012.0,1.071434383716657,1.9300402352048491,0.07366638159373323,0.15121480898637163,0.565699282713461,54.63344017,8.38492638,ok
474,25,1.9993242025375366,2023.0,1.2068554069522544,1.946804914532542,0.06338318669811056,0.1459535556860428,0.6098024145512605,54.50258302,8.70305048,ok
475,25,1.919520378112793,2023.0,-0.01927431571275027,1.1615590958071356,0.17890531993505643,0.10701377585386423,0.9080195644995323,54.47470223,9.83599307,ok
